"Wavelength, µm","n"
0.313060574,3.0781455
0.316150675,3.0804933
0.319230779,3.0822302
0.322310882,3.0809211
0.32540099,3.083258
0.328471096,3.0896464
0.3315612,3.0937649
0.334631304,3.0971351
0.337721404,3.0997297
0.340801515,3.1021857
0.343881613,3.1048714
0.346971716,3.107575
0.350041824,3.1105239
0.353121926,3.1144074
0.356212027,3.1194011
0.359292132,3.1257475
0.362372241,3.1330714
0.365462339,3.1397585
0.368532445,3.1434721
0.371612552,3.1429499
0.374702651,3.1399075
0.377782759,3.13664
0.38086286,3.1338645
0.383942967,3.1323698
0.387033074,3.1317912
0.390113181,3.1312955
0.393193284,3.131081
0.39627339,3.1308603
0.399343484,3.1309856
0.402433591,3.1319246
0.405513699,3.1336172
0.4086038,3.1355566
0.411673903,3.1371398
0.414764014,3.1390189
0.417834111,3.1403732
0.420934219,3.140852
0.424014321,3.1416711
0.427094424,3.1430398
0.430174525,3.1444123
0.433254631,3.1459438
0.436334734,3.1478388
0.439414837,3.1498741
0.44250495,3.1518945
0.445575042,3.1537439
0.448655154,3.1558017
0.451745258,3.1576952
0.454825358,3.1595769
0.457895472,3.1617534
0.46097557,3.1639586
0.464065666,3.1662121
0.467145771,3.1685883
0.470225889,3.1709617
0.473315994,3.1730709
0.476386093,3.1751568
0.479486192,3.1773739
0.482566304,3.1793788
0.485646407,3.1812584
0.488726509,3.1830824
0.491806617,3.1849169
0.494886719,3.1867842
0.497966821,3.1885405
0.501046927,3.1904006
0.504127019,3.1923821
